Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시
138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시
001460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,고 윤 성,http://home.byc.co.kr,서울특별시
001465,KOSPI,BYC우,,,,,,,
001040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시
079160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,최병환,http://www.cgv.co.kr,서울특별시
035760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minheoi Heo, Minho Hou",http://www.cjmall.com,서울특별시
00104K,KOSPI,CJ4우(전환),,,,,,,
000120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,박근희,http://www.cjlogistics.com,서울특별시
011150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도
011155,KOSPI,CJ씨푸드1우,,,,,,,
001045,KOSPI,CJ우,,,,,,,
097950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 강신호, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시
097955,KOSPI,CJ제일제당 우,,,,,,,
051500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,문종석,http://www.cjfreshway.com,경기도
058820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.skynewpharm.com,서울특별시
023460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도
056000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,"신현종, 이승훈",http://www.nesm.co.kr,서울특별시
065770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도
083660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시
000590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도
012030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시
367340,KOSDAQ,DB금융스팩8호,기타 금융업,기업인수 및 합병,2020-12-09,12월,홍창배,,서울특별시
016610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시
005830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시
000990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도
000995,KOSPI,DB하이텍1우,,,,,,,
139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시
001530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시
000210,KOSPI,DL,토목 건설업,지주회사,1976-02-02,12월,배원복,http://www.dlholdings.co.kr,서울특별시
000215,KOSPI,DL우,,,,,,,
375500,KOSPI,DL이앤씨,토목 건설업,토목 건설 사업,2021-01-25,12월,마창민,,서울특별시
37550K,KOSPI,DL이앤씨우,,,,,,,
068790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도
004840,KOSPI,DRB동일,기타 금융업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시
241520,KOSDAQ,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시
155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
069730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도
017940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27,12월,구자용 사장,http://www.e1.co.kr,서울특별시
245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"이민섭, 신상철",http://www.edgc.com,인천광역시
037370,KOSDAQ,EG,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도
079190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,양일규 (단독대표),http://emw.co.kr,인천광역시
365550,KOSPI,ESR켄달스퀘어리츠,부동산 임대 및 공급업,부동산투자,2020-12-23,05월,박래익,http://www.esrks-reit.com,서울특별시
007700,KOSPI,F&F,봉제의복 제조업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,김창수,http://www.fnf.co.kr,서울특별시
285690,KOSPI,FOCUS ESG리더스,,,,,,,
292730,KOSPI,FOCUS KRX300,,,,,,,
73501BA2,KOSPI,GB중소성장기업A,,,,,,,
73502BA2,KOSPI,GB중소성장기업C,,,,,,,
73503BA2,KOSPI,GB중소성장기업I,,,,,,,
130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.gumho-nt.com,경상북도
114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,유태열,http://www.grandkorea.com,서울특별시
900290,KOSDAQ,GRT,기타 금융업,"광학필름, 포장필름",2016-10-25,06월,주영남,,홍콩
078930,KOSPI,GS,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
083450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,김덕준,http://www.gst-in.com,경기도
006360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
001250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26,12월,김태형,http://www.gsgcorp.com,서울특별시
007070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,허연수,http://www.gsretail.com,서울특별시
078935,KOSPI,GS우,,,,,,,
028150,KOSDAQ,GS홈쇼핑,텔레비전 방송업,CATV홈쇼핑,2000-01-20,12월,김호성,http://company.gsshop.com,서울특별시
045890,KOSDAQ,GV,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",2005-11-28,12월,김철현,http://www.fawoo.co.kr,경기도
293180,KOSPI,HANARO 200,,,,,,,
332930,KOSPI,HANARO 200TR,,,,,,,
304780,KOSPI,HANARO 200선물레버리지,,,,,,,
306520,KOSPI,HANARO 200선물인버스,,,,,,,
368190,KOSPI,HANARO Fn K-뉴딜디지털플러스,,,,,,,
367740,KOSPI,HANARO Fn5G산업,,,,,,,
346000,KOSPI,HANARO KAP초장기국고채,,,,,,,
304760,KOSPI,HANARO KRX300,,,,,,,
332940,KOSPI,HANARO MSCI Korea TR,,,,,,,
322400,KOSPI,HANARO e커머스,,,,,,,
322410,KOSPI,HANARO 고배당,,,,,,,
354350,KOSPI,HANARO 글로벌럭셔리S&P(합성),,,,,,,
314700,KOSPI,HANARO 농업융복합산업,,,,,,,
306540,KOSPI,HANARO 단기통안채,,,,,,,
304770,KOSPI,HANARO 코스닥150,,,,,,,
306530,KOSPI,HANARO 코스닥150선물레버리지,,,,,,,
375760,KOSPI,HANARO 탄소효율그린뉴딜,,,,,,,
078150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도
012630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시
039570,KOSPI,HDC아이콘트롤스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",2015-09-24,12월,김성은,http://www.icontrols.co.kr,경기도
089470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hyundai-ep.com,충청남도
294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구",http://www.hdc-dvp.com,서울특별시
011200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시
036640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도
082740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도
335870,KOSDAQ,IBKS제12호스팩,금융 지원 서비스업,기타 금융업,2019-12-09,12월,이준규,,서울특별시
351340,KOSDAQ,IBKS제13호스팩,금융 지원 서비스업,기업인수 및 합병,2020-07-15,12월,고병철,,서울특별시
351320,KOSDAQ,IBKS제14호스팩,기타 금융업,기업인수목적회사,2020-06-22,12월,이동헌,해당없음,서울특별시
373200,KOSDAQ,IBKS제15호스팩,금융 지원 서비스업,기업 인수 합병,2021-02-26,12월,박광열,,서울특별시
003560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시
095340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,"정영배, 박석순(각자 대표이사)",http://isc21.kr,경기도
099520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열, 유건상 (각자 대표이사)",http://www.itxsecurity.com,서울특별시
175330,KOSPI,JB금융지주,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
950170,KOSDAQ,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,구철모,http://www.groupjtc.com/korean/,일본
234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
067290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,백승호,http://www.cwsy.co.kr,서울특별시
001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14,12월,"대표이사 신영섭, 이성열(각자 대표이사)",http://www.jw-pharma.co.kr,서울특별시
001067,KOSPI,JW중외제약2우B,,,,,,,
001065,KOSPI,JW중외제약우,,,,,,,
096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
035900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시
580011,KOSPI,KB FnGuide 언택트 ETN,,,,,,,
580013,KOSPI,KB KRX ESG Eco ETN,,,,,,,
580012,KOSPI,KB KRX300 ETN,,,,,,,
580010,KOSPI,KB Wise 분할매매 ETN,,,,,,,
580015,KOSPI,KB 레버리지 나스닥 100 ETN,,,,,,,
71901B96,KOSPI,KB 와이즈 스타 부동산 자 2 A,,,,,,,
71902B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-F,,,,,,,
71903B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-I,,,,,,,
580014,KOSPI,KB 인버스 2X 나스닥 100 ETN,,,,,,,
58F733,KOSPI,KBF733엘지전자콜,,,,,,,
58F734,KOSPI,KBF734LG화학콜,,,,,,,
58F735,KOSPI,KBF735네이버콜,,,,,,,
58F736,KOSPI,KBF736네이버풋,,,,,,,
58F737,KOSPI,KBF737SK하이닉콜,,,,,,,
58F738,KOSPI,KBF738기아차콜,,,,,,,
58F739,KOSPI,KBF739삼성전자콜,,,,,,,
58F932,KOSPI,KBF932LG화학콜,,,,,,,
58F933,KOSPI,KBF933네이버콜,,,,,,,
58F934,KOSPI,KBF934SK하이닉콜,,,,,,,
58F935,KOSPI,KBF935삼성전자콜,,,,,,,
58F937,KOSPI,KBF937삼성전자콜,,,,,,,
58FA80,KOSPI,KBFA80LG화학콜,,,,,,,
58FA81,KOSPI,KBFA81네이버콜,,,,,,,
58FA82,KOSPI,KBFA82SK하이닉콜,,,,,,,
58FA83,KOSPI,KBFA83삼성전자콜,,,,,,,
58FA84,KOSPI,KBFA84NC소프트콜,,,,,,,
58FA85,KOSPI,KBFA85카카오콜,,,,,,,
58FA86,KOSPI,KBFA86삼성전자콜,,,,,,,
58FB83,KOSPI,KBFB83엘지전자콜,,,,,,,
58FB84,KOSPI,KBFB84POSCO콜,,,,,,,
58FB85,KOSPI,KBFB85SK텔레콤콜,,,,,,,
58FB86,KOSPI,KBFB86SK하이닉콜,,,,,,,
58FB87,KOSPI,KBFB87넷마블콜,,,,,,,
58FB88,KOSPI,KBFB88삼성SDI콜,,,,,,,
58FB89,KOSPI,KBFB89삼성바이콜,,,,,,,
58FB90,KOSPI,KBFB90삼성전자콜,,,,,,,
58FB91,KOSPI,KBFB91셀트리온콜,,,,,,,
58FB92,KOSPI,KBFB92셀트헬스콜,,,,,,,
58FB93,KOSPI,KBFB93하나금융콜,,,,,,,
58FB94,KOSPI,KBFB94현대차콜,,,,,,,
58FB95,KOSPI,KBFB95LG화학콜,,,,,,,
58FB96,KOSPI,KBFB96네이버콜,,,,,,,
58FB97,KOSPI,KBFB97SK하이닉콜,,,,,,,
58FB98,KOSPI,KBFB98기아차콜,,,,,,,
58FB99,KOSPI,KBFB99삼성SDI콜,,,,,,,
58FC01,KOSPI,KBFC01셀트리온콜,,,,,,,
58FC02,KOSPI,KBFC02셀트리온풋,,,,,,,
58FC03,KOSPI,KBFC03카카오콜,,,,,,,
58FC04,KOSPI,KBFC04현대차콜,,,,,,,
58FC05,KOSPI,KBFC05삼성전자콜,,,,,,,
58FD05,KOSPI,KBFD05엘지디스콜,,,,,,,
58FD06,KOSPI,KBFD06엘지디스풋,,,,,,,
58FD07,KOSPI,KBFD07엘지전자풋,,,,,,,
58FD08,KOSPI,KBFD08엘지전자콜,,,,,,,
58FD09,KOSPI,KBFD09LG화학콜,,,,,,,
58FD10,KOSPI,KBFD10네이버콜,,,,,,,
58FD11,KOSPI,KBFD11SK이노콜,,,,,,,
58FD12,KOSPI,KBFD12기아차콜,,,,,,,
58FD13,KOSPI,KBFD13셀트리온풋,,,,,,,
58FD14,KOSPI,KBFD14셀트헬스콜,,,,,,,
58FD15,KOSPI,KBFD15신한지주콜,,,,,,,
58FD16,KOSPI,KBFD16SK바이오콜,,,,,,,
58FD17,KOSPI,KBFD17SK바이오콜,,,,,,,
58FD18,KOSPI,KBFD18카카오콜,,,,,,,
58FD19,KOSPI,KBFD19한미약품콜,,,,,,,
58FD20,KOSPI,KBFD20현대차콜,,,,,,,
58FD21,KOSPI,KBFD21네이버콜,,,,,,,
58FD22,KOSPI,KBFD22POSCO콜,,,,,,,
58FD23,KOSPI,KBFD23SK하이닉콜,,,,,,,
58FD24,KOSPI,KBFD24기아차콜,,,,,,,
58FD25,KOSPI,KBFD25삼성바이콜,,,,,,,
58FD26,KOSPI,KBFD26삼성전자풋,,,,,,,
58FD27,KOSPI,KBFD27셀트리온콜,,,,,,,
58FD28,KOSPI,KBFD28카카오콜,,,,,,,
58FD29,KOSPI,KBFD29현대차콜,,,,,,,
58FD30,KOSPI,KBFD30엘지전자콜,,,,,,,
58FD31,KOSPI,KBFD31LG화학콜,,,,,,,
58FD32,KOSPI,KBFD32SK하이닉콜,,,,,,,
58FD33,KOSPI,KBFD33삼성전자콜,,,,,,,
58FD98,KOSPI,KBFD98KOSPI200콜,,,,,,,
58FD99,KOSPI,KBFD99KOSPI200콜,,,,,,,
58FE01,KOSPI,KBFE01KOSPI200콜,,,,,,,
58FE02,KOSPI,KBFE02KOSPI200콜,,,,,,,
58FE03,KOSPI,KBFE03KOSPI200콜,,,,,,,
58FE04,KOSPI,KBFE04KOSPI200콜,,,,,,,
58FE05,KOSPI,KBFE05KOSPI200콜,,,,,,,
58FE06,KOSPI,KBFE06KOSPI200콜,,,,,,,
58FE07,KOSPI,KBFE07KOSPI200콜,,,,,,,
58FE08,KOSPI,KBFE08KOSPI200콜,,,,,,,
58FE09,KOSPI,KBFE09KOSPI200콜,,,,,,,
58FE10,KOSPI,KBFE10KOSPI200콜,,,,,,,
58FE11,KOSPI,KBFE11KOSPI200콜,,,,,,,
58FE12,KOSPI,KBFE12KOSPI200콜,,,,,,,
58FE13,KOSPI,KBFE13KOSPI200콜,,,,,,,
58FE14,KOSPI,KBFE14KOSPI200풋,,,,,,,
58FE15,KOSPI,KBFE15KOSPI200풋,,,,,,,
58FE16,KOSPI,KBFE16KOSPI200풋,,,,,,,
58FE17,KOSPI,KBFE17KOSPI200풋,,,,,,,
58FE18,KOSPI,KBFE18KOSPI200풋,,,,,,,
58FE19,KOSPI,KBFE19KOSPI200풋,,,,,,,
58FE20,KOSPI,KBFE20KOSPI200풋,,,,,,,
58FE21,KOSPI,KBFE21KOSPI200풋,,,,,,,
58FE22,KOSPI,KBFE22KOSPI200풋,,,,,,,
58FE23,KOSPI,KBFE23KOSPI200풋,,,,,,,
58FE24,KOSPI,KBFE24KOSPI200풋,,,,,,,
58FE25,KOSPI,KBFE25KOSPI200풋,,,,,,,
58FE73,KOSPI,KBFE73엘지전자풋,,,,,,,
58FE74,KOSPI,KBFE74POSCO콜,,,,,,,
58FE75,KOSPI,KBFE75POSCO콜,,,,,,,
58FE76,KOSPI,KBFE76SK텔레콤콜,,,,,,,
58FE77,KOSPI,KBFE77기아차콜,,,,,,,
58FE78,KOSPI,KBFE78기아차풋,,,,,,,
58FE79,KOSPI,KBFE79롯데케미콜,,,,,,,
58FE80,KOSPI,KBFE80삼성SDI콜,,,,,,,
58FE81,KOSPI,KBFE81삼성SDI콜,,,,,,,
58FE82,KOSPI,KBFE82삼성바이콜,,,,,,,
58FE83,KOSPI,KBFE83삼성SDS콜,,,,,,,
58FE84,KOSPI,KBFE84SK바이오콜,,,,,,,
58FE85,KOSPI,KBFE85NC소프트콜,,,,,,,
58FE86,KOSPI,KBFE86카카오풋,,,,,,,
58FE87,KOSPI,KBFE87하나금융콜,,,,,,,
58FE88,KOSPI,KBFE88하나금융풋,,,,,,,
58FE89,KOSPI,KBFE89한국전력콜,,,,,,,
58FE90,KOSPI,KBFE90현대차콜,,,,,,,
58FE91,KOSPI,KBFE91엘지디스콜,,,,,,,
58FE92,KOSPI,KBFE92LG생건콜,,,,,,,
58FE93,KOSPI,KBFE93엘지전자콜,,,,,,,
58FE94,KOSPI,KBFE94LG화학콜,,,,,,,
58FE95,KOSPI,KBFE95네이버콜,,,,,,,
58FE96,KOSPI,KBFE96POSCO콜,,,,,,,
58FE97,KOSPI,KBFE97POSCO풋,,,,,,,
58FE98,KOSPI,KBFE98SK이노콜,,,,,,,
58FE99,KOSPI,KBFE99SK하이닉콜,,,,,,,
58FF00,KOSPI,KBFF00SK하이닉풋,,,,,,,
58FF01,KOSPI,KBFF01기아차콜,,,,,,,
58FF02,KOSPI,KBFF02기아차풋,,,,,,,
58FF03,KOSPI,KBFF03넷마블콜,,,,,,,
58FF04,KOSPI,KBFF04삼성SDI콜,,,,,,,
58FF05,KOSPI,KBFF05삼성물산콜,,,,,,,
58FF06,KOSPI,KBFF06삼성바이콜,,,,,,,
58FF07,KOSPI,KBFF07삼성전자콜,,,,,,,
58FF08,KOSPI,KBFF08신한지주콜,,,,,,,
58FF09,KOSPI,KBFF09카카오콜,,,,,,,
58FF10,KOSPI,KBFF10하나금융콜,,,,,,,
58FF11,KOSPI,KBFF11한미약품콜,,,,,,,
58FF12,KOSPI,KBFF12모비스콜,,,,,,,
58FF13,KOSPI,KBFF13현대차콜,,,,,,,
58FF14,KOSPI,KBFF14현대차풋,,,,,,,
58FF15,KOSPI,KBFF15POSCO콜,,,,,,,
58FF16,KOSPI,KBFF16SK텔레콤콜,,,,,,,
58FF17,KOSPI,KBFF17삼성SDI콜,,,,,,,
58FF18,KOSPI,KBFF18삼성전자콜,,,,,,,
58FF19,KOSPI,KBFF19셀트리온콜,,,,,,,
58FF20,KOSPI,KBFF20현대차콜,,,,,,,
58FF21,KOSPI,KBFF21LG화학콜,,,,,,,
58FF22,KOSPI,KBFF22네이버콜,,,,,,,
58FF23,KOSPI,KBFF23SK하이닉콜,,,,,,,
58FF24,KOSPI,KBFF24삼성전자콜,,,,,,,
58FF25,KOSPI,KBFF25신한지주콜,,,,,,,
58FF52,KOSPI,KBFF52KOSPI200콜,,,,,,,
58FF53,KOSPI,KBFF53KOSPI200콜,,,,,,,
58FF54,KOSPI,KBFF54KOSPI200콜,,,,,,,
58FF55,KOSPI,KBFF55KOSPI200콜,,,,,,,
58FF56,KOSPI,KBFF56KOSPI200콜,,,,,,,
58FF57,KOSPI,KBFF57KOSPI200콜,,,,,,,
58FF58,KOSPI,KBFF58KOSPI200콜,,,,,,,
58FF59,KOSPI,KBFF59KOSPI200콜,,,,,,,
58FF60,KOSPI,KBFF60KOSPI200콜,,,,,,,
58FF61,KOSPI,KBFF61KOSPI200풋,,,,,,,
58FF62,KOSPI,KBFF62KOSPI200풋,,,,,,,
58FF63,KOSPI,KBFF63KOSPI200풋,,,,,,,
58FF64,KOSPI,KBFF64KOSPI200풋,,,,,,,
58FF65,KOSPI,KBFF65KOSPI200풋,,,,,,,
58FF66,KOSPI,KBFF66KOSPI200풋,,,,,,,
58FF67,KOSPI,KBFF67KOSPI200풋,,,,,,,
58FF68,KOSPI,KBFF68KOSPI200풋,,,,,,,
58FF69,KOSPI,KBFF69KOSPI200풋,,,,,,,
